img,label
0,/mnt/home/cky/Code/STT/Data/train_samples/img/austin2_01179_258_289.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin2_01179_258_289.png
1,/mnt/home/cky/Code/STT/Data/train_samples/img/austin4_00061_481_276.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin4_00061_481_276.png
2,/mnt/home/cky/Code/STT/Data/train_samples/img/austin3_00497_432_361.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin3_00497_432_361.png
3,/mnt/home/cky/Code/STT/Data/train_samples/img/austin3_01452_334_335.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin3_01452_334_335.png
4,/mnt/home/cky/Code/STT/Data/train_samples/img/austin3_00294_332_293.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin3_00294_332_293.png
5,/mnt/home/cky/Code/STT/Data/train_samples/img/austin7_00100_300_263.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin7_00100_300_263.png
6,/mnt/home/cky/Code/STT/Data/train_samples/img/austin4_00163_356_367.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin4_00163_356_367.png
7,/mnt/home/cky/Code/STT/Data/train_samples/img/austin4_00133_264_308.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin4_00133_264_308.png
8,/mnt/home/cky/Code/STT/Data/train_samples/img/austin7_00166_430_319.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin7_00166_430_319.png
9,/mnt/home/cky/Code/STT/Data/train_samples/img/austin4_00205_468_478.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin4_00205_468_478.png
10,/mnt/home/cky/Code/STT/Data/train_samples/img/austin7_00079_495_463.png,/mnt/home/cky/Code/STT/Data/train_samples/label/austin7_00079_495_463.png
